id;name;description;distance
1;interactive capacitor;Idaho Grocery;Concrete Towels Avon
2;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist
3;Towels applications;Zimbabwe;Bedfordshire
4;application scale;indigo National;Expressway
5;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains
6;Borders hack;Pants;Tasty navigate didactic
7;payment schemas Industrial;calculating;withdrawal Toys white
8;olive;Kids Incredible;Florida THX Idaho
9;Licensed Visionary pixel;neural Markets Branding;maroon
10;superstructure;Kids;microchip
