id;name;description;rules;price
1;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647
2;Home Loan Account;experiences;Credit Card Account;33490
3;Wooden optical Investment Account;reboot South Carolina;Cheese orchestration Robust;74394
4;Electronics;application Cambridgeshire;scalable connecting Fantastic;84645
5;Rubber syndicate;Cameroon Bedfordshire models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);54272
6;Persistent transparent Chips;front-end Intuitive vortals;Communications;15335
7;Connecticut Avon Money Market Account;bus;Security Virginia;69665
8;Lead alarm Cheese;maximize Practical Steel Fish;Configuration;92556
9;Coves Concrete Officer;yellow programming strategy;Czech Republic;59127
10;seize Handmade Plastic Mouse;auxiliary Money Market Account Cotton;Switzerland Chief;34634
