id;title;type;mime_type;jhi_binary;jhi_binary_content_type;url;entity_type;entity_id
1;mobile Fish;MEDICAL_CERTIFICATION;Trace;../fake-data/blob/hipster.png;image/png;http://lazaro.com;ACSI_TEAM;77
2;Officer;ATHLETE_ID_DOC;Home Namibia;../fake-data/blob/hipster.png;image/png;http://brody.com;RACE_SUBSCRIPTION;23277
3;Licensed Savings Account;COVER_IMAGE;HDD;../fake-data/blob/hipster.png;image/png;https://cecile.info;RACE;94220
4;South Dakota envisioneer Music;PATH_IMAGE;Bahamian Dollar Investment Account;../fake-data/blob/hipster.png;image/png;https://alexzander.biz;SUBSCRIPTION_TYPE;42515
5;sky blue Georgia;COVER_IMAGE;Views e-enable Communications;../fake-data/blob/hipster.png;image/png;https://theodora.biz;NON_ACSI_TEAM;52083
6;Tactics;PATH_IMAGE;Specialist Home Loan Account;../fake-data/blob/hipster.png;image/png;http://brooks.biz;RACE_TYPE;39488
7;24 hour;PATH_IMAGE;monitor 1080p Checking Account;../fake-data/blob/hipster.png;image/png;https://florida.name;CONTACT;85003
8;Highway Ergonomic;PATH_IMAGE;New York tangible Mississippi;../fake-data/blob/hipster.png;image/png;http://blake.org;RACE_SUBSCRIPTION;25606
9;Sleek Metal Table Small;ATHLETE_ID_DOC;Harbor Montana;../fake-data/blob/hipster.png;image/png;https://sydney.com;CONTACT;53984
10;white Brand Money Market Account;MEDICAL_CERTIFICATION;Refined Squares;../fake-data/blob/hipster.png;image/png;http://ciara.info;PATHTYPE;35629
